key	en_us	non_is	note
block.minecraft.cut_sandstone_slab	Cut Sandstone Slab	Cut Sandstone Slab	review needed
block.minecraft.cyan_banner	Cyan Banner	Cyan Banner	review needed
block.minecraft.cyan_bed	Cyan Bed	Cyan Bed	review needed
block.minecraft.cyan_candle	Cyan Candle	Cyan Candle	review needed
block.minecraft.cyan_candle_cake	Cake with Cyan Candle	Cake with Cyan Candle	review needed
block.minecraft.cyan_carpet	Cyan Carpet	Cyan Carpet	review needed
block.minecraft.cyan_concrete	Cyan Concrete	Cyan Concrete	review needed
block.minecraft.cyan_concrete_powder	Cyan Concrete Powder	Cyan Concrete Powder	review needed
block.minecraft.cyan_glazed_terracotta	Cyan Glazed Terracotta	Cyan Glazed Terracotta	review needed
block.minecraft.cyan_shulker_box	Cyan Shulker Box	Cyan Shulker Box	review needed
block.minecraft.cyan_stained_glass	Cyan Stained Glass	Cyan Stained Glass	review needed
block.minecraft.cyan_stained_glass_pane	Cyan Stained Glass Pane	Cyan Stained Glass Pane	review needed
block.minecraft.cyan_terracotta	Cyan Terracotta	Cyan Terracotta	review needed
block.minecraft.cyan_wool	Cyan Wool	Cyan Wool	review needed
block.minecraft.damaged_anvil	Damaged Anvil	Damaged Anvil	review needed
block.minecraft.dandelion	Dandelion	Dandelion	review needed
block.minecraft.dark_oak_button	Dark Oak Button	Dark Oak Button	review needed
block.minecraft.dark_oak_door	Dark Oak Door	Dark Oak Door	review needed
block.minecraft.dark_oak_fence	Dark Oak Fence	Dark Oak Fence	review needed
block.minecraft.dark_oak_fence_gate	Dark Oak Fence Gate	Dark Oak Fence Gate	review needed
block.minecraft.dark_oak_hanging_sign	Dark Oak Hanging Sign	Dark Oak Hanging Sign	review needed
block.minecraft.dark_oak_leaves	Dark Oak Leaves	Dark Oak Leaves	review needed
block.minecraft.dark_oak_log	Dark Oak Log	Dark Oak Log	review needed
block.minecraft.dark_oak_planks	Dark Oak Planks	Dark Oak Planks	review needed
block.minecraft.dark_oak_pressure_plate	Dark Oak Pressure Plate	Dark Oak Pressure Plate	review needed
block.minecraft.dark_oak_sapling	Dark Oak Sapling	Dark Oak Sapling	review needed
block.minecraft.dark_oak_shelf	block.minecraft.dark_oak_shelf	block.minecraft.dark_oak_shelf	review needed
block.minecraft.dark_oak_sign	Dark Oak Sign	Dark Oak Sign	review needed
block.minecraft.dark_oak_slab	Dark Oak Slab	Dark Oak Slab	review needed
block.minecraft.dark_oak_stairs	Dark Oak Stairs	Dark Oak Stairs	review needed
block.minecraft.dark_oak_trapdoor	Dark Oak Trapdoor	Dark Oak Trapdoor	review needed
block.minecraft.dark_oak_wall_hanging_sign	Dark Oak Wall Hanging Sign	Dark Oak Wall Hanging Sign	review needed
block.minecraft.dark_oak_wall_sign	Dark Oak Wall Sign	Dark Oak Wall Sign	review needed
block.minecraft.dark_oak_wood	Dark Oak Wood	Dark Oak Wood	review needed
block.minecraft.dark_prismarine	Dark Prismarine	Dark Prismarine	review needed
block.minecraft.dark_prismarine_slab	Dark Prismarine Slab	Dark Prismarine Slab	review needed
block.minecraft.dark_prismarine_stairs	Dark Prismarine Stairs	Dark Prismarine Stairs	review needed
block.minecraft.daylight_detector	Daylight Detector	Daylight Detector	review needed
block.minecraft.dead_brain_coral	Dead Brain Coral	Dead Brain Coral	review needed
block.minecraft.dead_brain_coral_block	Dead Brain Coral Block	Dead Brain Coral Block	review needed
block.minecraft.dead_brain_coral_fan	Dead Brain Coral Fan	Dead Brain Coral Fan	review needed
block.minecraft.dead_brain_coral_wall_fan	Dead Brain Coral Wall Fan	Dead Brain Coral Wall Fan	review needed
block.minecraft.dead_bubble_coral	Dead Bubble Coral	Dead Bubble Coral	review needed
block.minecraft.dead_bubble_coral_block	Dead Bubble Coral Block	Dead Bubble Coral Block	review needed
block.minecraft.dead_bubble_coral_fan	Dead Bubble Coral Fan	Dead Bubble Coral Fan	review needed
block.minecraft.dead_bubble_coral_wall_fan	Dead Bubble Coral Wall Fan	Dead Bubble Coral Wall Fan	review needed
block.minecraft.dead_bush	Dead Bush	Dead Bush	review needed
block.minecraft.dead_fire_coral	Dead Fire Coral	Dead Fire Coral	review needed
block.minecraft.dead_fire_coral_block	Dead Fire Coral Block	Dead Fire Coral Block	review needed
block.minecraft.dead_fire_coral_fan	Dead Fire Coral Fan	Dead Fire Coral Fan	review needed
block.minecraft.dead_fire_coral_wall_fan	Dead Fire Coral Wall Fan	Dead Fire Coral Wall Fan	review needed
block.minecraft.dead_horn_coral	Dead Horn Coral	Dead Horn Coral	review needed
block.minecraft.dead_horn_coral_block	Dead Horn Coral Block	Dead Horn Coral Block	review needed
block.minecraft.dead_horn_coral_fan	Dead Horn Coral Fan	Dead Horn Coral Fan	review needed
block.minecraft.dead_horn_coral_wall_fan	Dead Horn Coral Wall Fan	Dead Horn Coral Wall Fan	review needed
block.minecraft.dead_tube_coral	Dead Tube Coral	Dead Tube Coral	review needed
block.minecraft.dead_tube_coral_block	Dead Tube Coral Block	Dead Tube Coral Block	review needed
block.minecraft.dead_tube_coral_fan	Dead Tube Coral Fan	Dead Tube Coral Fan	review needed
block.minecraft.dead_tube_coral_wall_fan	Dead Tube Coral Wall Fan	Dead Tube Coral Wall Fan	review needed
block.minecraft.decorated_pot	Decorated Pot	Decorated Pot	review needed
block.minecraft.deepslate	Deepslate	Deepslate	review needed
block.minecraft.deepslate_brick_slab	Deepslate Brick Slab	Deepslate Brick Slab	review needed
block.minecraft.deepslate_brick_stairs	Deepslate Brick Stairs	Deepslate Brick Stairs	review needed
block.minecraft.deepslate_brick_wall	Deepslate Brick Wall	Deepslate Brick Wall	review needed
block.minecraft.deepslate_bricks	Deepslate Bricks	Deepslate Bricks	review needed
block.minecraft.deepslate_coal_ore	Deepslate Coal Ore	Deepslate Coal Ore	review needed
block.minecraft.deepslate_copper_ore	Deepslate Copper Ore	Deepslate Copper Ore	review needed
block.minecraft.deepslate_diamond_ore	Deepslate Diamond Ore	Deepslate Diamond Ore	review needed
block.minecraft.deepslate_emerald_ore	Deepslate Emerald Ore	Deepslate Emerald Ore	review needed
block.minecraft.deepslate_gold_ore	Deepslate Gold Ore	Deepslate Gold Ore	review needed
block.minecraft.deepslate_iron_ore	Deepslate Iron Ore	Deepslate Iron Ore	review needed
block.minecraft.deepslate_lapis_ore	Deepslate Lapis Lazuli Ore	Deepslate Lapis Lazuli Ore	review needed
block.minecraft.deepslate_redstone_ore	Deepslate Redstone Ore	Deepslate Redstone Ore	review needed
block.minecraft.deepslate_tile_slab	Deepslate Tile Slab	Deepslate Tile Slab	review needed
block.minecraft.deepslate_tile_stairs	Deepslate Tile Stairs	Deepslate Tile Stairs	review needed
block.minecraft.deepslate_tile_wall	Deepslate Tile Wall	Deepslate Tile Wall	review needed
block.minecraft.deepslate_tiles	Deepslate Tiles	Deepslate Tiles	review needed
block.minecraft.detector_rail	Detector Rail	Detector Rail	review needed
block.minecraft.diamond_block	Block of Diamond	Block of Diamond	review needed
block.minecraft.diamond_ore	Diamond Ore	Diamond Ore	review needed
block.minecraft.diorite	Diorite	Diorite	review needed
block.minecraft.diorite_slab	Diorite Slab	Diorite Slab	review needed
block.minecraft.diorite_stairs	Diorite Stairs	Diorite Stairs	review needed
block.minecraft.diorite_wall	Diorite Wall	Diorite Wall	review needed
block.minecraft.dirt	Dirt	Dirt	review needed
block.minecraft.dirt_path	Dirt Path	Dirt Path	review needed
block.minecraft.dispenser	Dispenser	Dispenser	review needed
block.minecraft.dragon_egg	Dragon Egg	Dragon Egg	review needed
block.minecraft.dragon_head	Dragon Head	Dragon Head	review needed
block.minecraft.dragon_wall_head	Dragon Wall Head	Dragon Wall Head	review needed
block.minecraft.dried_ghast	block.minecraft.dried_ghast	block.minecraft.dried_ghast	review needed
block.minecraft.dried_kelp_block	Dried Kelp Block	Dried Kelp Block	review needed
block.minecraft.dripstone_block	Dripstone Block	Dripstone Block	review needed
block.minecraft.dropper	Dropper	Dropper	review needed
block.minecraft.emerald_block	Block of Emerald	Block of Emerald	review needed
block.minecraft.emerald_ore	Emerald Ore	Emerald Ore	review needed
block.minecraft.enchanting_table	Enchanting Table	Enchanting Table	review needed
block.minecraft.end_gateway	End Gateway	End Gateway	review needed
block.minecraft.end_portal	End Portal	End Portal	review needed
block.minecraft.end_portal_frame	End Portal Frame	End Portal Frame	review needed
block.minecraft.end_rod	End Rod	End Rod	review needed
block.minecraft.end_stone	End Stone	End Stone	review needed
block.minecraft.end_stone_brick_slab	End Stone Brick Slab	End Stone Brick Slab	review needed
block.minecraft.end_stone_brick_stairs	End Stone Brick Stairs	End Stone Brick Stairs	review needed
block.minecraft.end_stone_brick_wall	End Stone Brick Wall	End Stone Brick Wall	review needed
block.minecraft.end_stone_bricks	End Stone Bricks	End Stone Bricks	review needed
block.minecraft.ender_chest	Ender Chest	Ender Chest	review needed
block.minecraft.exposed_chiseled_copper	block.minecraft.exposed_chiseled_copper	block.minecraft.exposed_chiseled_copper	review needed
block.minecraft.exposed_copper	Exposed Copper	Exposed Copper	review needed
block.minecraft.exposed_copper_bars	block.minecraft.exposed_copper_bars	block.minecraft.exposed_copper_bars	review needed
block.minecraft.exposed_copper_bulb	block.minecraft.exposed_copper_bulb	block.minecraft.exposed_copper_bulb	review needed
block.minecraft.exposed_copper_chain	block.minecraft.exposed_copper_chain	block.minecraft.exposed_copper_chain	review needed
block.minecraft.exposed_copper_chest	block.minecraft.exposed_copper_chest	block.minecraft.exposed_copper_chest	review needed
block.minecraft.exposed_copper_door	block.minecraft.exposed_copper_door	block.minecraft.exposed_copper_door	review needed
block.minecraft.exposed_copper_golem_statue	block.minecraft.exposed_copper_golem_statue	block.minecraft.exposed_copper_golem_statue	review needed
block.minecraft.exposed_copper_grate	block.minecraft.exposed_copper_grate	block.minecraft.exposed_copper_grate	review needed
block.minecraft.exposed_copper_lantern	block.minecraft.exposed_copper_lantern	block.minecraft.exposed_copper_lantern	review needed
block.minecraft.exposed_copper_trapdoor	block.minecraft.exposed_copper_trapdoor	block.minecraft.exposed_copper_trapdoor	review needed
block.minecraft.exposed_cut_copper	Exposed Cut Copper	Exposed Cut Copper	review needed
block.minecraft.exposed_cut_copper_slab	Exposed Cut Copper Slab	Exposed Cut Copper Slab	review needed
block.minecraft.exposed_cut_copper_stairs	Exposed Cut Copper Stairs	Exposed Cut Copper Stairs	review needed
block.minecraft.exposed_lightning_rod	block.minecraft.exposed_lightning_rod	block.minecraft.exposed_lightning_rod	review needed
block.minecraft.farmland	Farmland	Farmland	review needed
block.minecraft.fern	Fern	Fern	review needed
block.minecraft.fire	Fire	Fire	review needed
block.minecraft.fire_coral	Fire Coral	Fire Coral	review needed
block.minecraft.fire_coral_block	Fire Coral Block	Fire Coral Block	review needed
block.minecraft.fire_coral_fan	Fire Coral Fan	Fire Coral Fan	review needed
block.minecraft.fire_coral_wall_fan	Fire Coral Wall Fan	Fire Coral Wall Fan	review needed
block.minecraft.firefly_bush	block.minecraft.firefly_bush	block.minecraft.firefly_bush	review needed
block.minecraft.fletching_table	Fletching Table	Fletching Table	review needed
block.minecraft.flower_pot	Flower Pot	Flower Pot	review needed
block.minecraft.flowering_azalea	Flowering Azalea	Flowering Azalea	review needed
block.minecraft.flowering_azalea_leaves	Flowering Azalea Leaves	Flowering Azalea Leaves	review needed
block.minecraft.frogspawn	Frogspawn	Frogspawn	review needed
block.minecraft.frosted_ice	Frosted Ice	Frosted Ice	review needed
block.minecraft.furnace	Furnace	Furnace	review needed
block.minecraft.gilded_blackstone	Gilded Blackstone	Gilded Blackstone	review needed
block.minecraft.glass	Glass	Glass	review needed
block.minecraft.glass_pane	Glass Pane	Glass Pane	review needed
block.minecraft.glow_lichen	Glow Lichen	Glow Lichen	review needed
block.minecraft.glowstone	Glowstone	Glowstone	review needed
block.minecraft.gold_block	Block of Gold	Block of Gold	review needed
block.minecraft.gold_ore	Gold Ore	Gold Ore	review needed
block.minecraft.golden_dandelion	block.minecraft.golden_dandelion	block.minecraft.golden_dandelion	review needed
block.minecraft.granite	Granite	Granite	review needed
block.minecraft.granite_slab	Granite Slab	Granite Slab	review needed
block.minecraft.granite_stairs	Granite Stairs	Granite Stairs	review needed
block.minecraft.granite_wall	Granite Wall	Granite Wall	review needed
block.minecraft.grass	Grass	Grass	review needed
block.minecraft.grass_block	Grass Block	Grass Block	review needed
block.minecraft.gravel	Gravel	Gravel	review needed
block.minecraft.gray_banner	Gray Banner	Gray Banner	review needed
block.minecraft.gray_bed	Gray Bed	Gray Bed	review needed
block.minecraft.gray_candle	Gray Candle	Gray Candle	review needed
block.minecraft.gray_candle_cake	Cake with Gray Candle	Cake with Gray Candle	review needed
block.minecraft.gray_carpet	Gray Carpet	Gray Carpet	review needed
block.minecraft.gray_concrete	Gray Concrete	Gray Concrete	review needed
block.minecraft.gray_concrete_powder	Gray Concrete Powder	Gray Concrete Powder	review needed
block.minecraft.gray_glazed_terracotta	Gray Glazed Terracotta	Gray Glazed Terracotta	review needed
block.minecraft.gray_shulker_box	Gray Shulker Box	Gray Shulker Box	review needed
block.minecraft.gray_stained_glass	Gray Stained Glass	Gray Stained Glass	review needed
block.minecraft.gray_stained_glass_pane	Gray Stained Glass Pane	Gray Stained Glass Pane	review needed
block.minecraft.gray_terracotta	Gray Terracotta	Gray Terracotta	review needed
block.minecraft.gray_wool	Gray Wool	Gray Wool	review needed
block.minecraft.green_banner	Green Banner	Green Banner	review needed
block.minecraft.green_bed	Green Bed	Green Bed	review needed
block.minecraft.green_candle	Green Candle	Green Candle	review needed
block.minecraft.green_candle_cake	Cake with Green Candle	Cake with Green Candle	review needed
block.minecraft.green_carpet	Green Carpet	Green Carpet	review needed
block.minecraft.green_concrete	Green Concrete	Green Concrete	review needed
block.minecraft.green_concrete_powder	Green Concrete Powder	Green Concrete Powder	review needed
block.minecraft.green_glazed_terracotta	Green Glazed Terracotta	Green Glazed Terracotta	review needed
block.minecraft.green_shulker_box	Green Shulker Box	Green Shulker Box	review needed
block.minecraft.green_stained_glass	Green Stained Glass	Green Stained Glass	review needed
block.minecraft.green_stained_glass_pane	Green Stained Glass Pane	Green Stained Glass Pane	review needed
block.minecraft.green_terracotta	Green Terracotta	Green Terracotta	review needed
