key	en_us	ang	note
minecraft.packet.block.minecraft.crimson_button	Crimson Button	Crimson Button	review needed
minecraft.packet.block.minecraft.crimson_door	Crimson Door	Crimson Door	review needed
minecraft.packet.block.minecraft.crimson_fence	Crimson Fence	Crimson Fence	review needed
minecraft.packet.block.minecraft.crimson_fence_gate	Crimson Fence Gate	Crimson Fence Gate	review needed
minecraft.packet.block.minecraft.crimson_fungus	Crimson Fungus	Crimson Fungus	review needed
minecraft.packet.block.minecraft.crimson_hanging_sign	Crimson Hanging Sign	Crimson Hanging Sign	review needed
minecraft.packet.block.minecraft.crimson_hyphae	Crimson Hyphae	Crimson Hyphae	review needed
minecraft.packet.block.minecraft.crimson_nylium	Crimson Nylium	Crimson Nylium	review needed
minecraft.packet.block.minecraft.crimson_planks	Crimson Planks	Crimson Planks	review needed
minecraft.packet.block.minecraft.crimson_pressure_plate	Crimson Pressure Plate	Crimson Pressure Plate	review needed
minecraft.packet.block.minecraft.crimson_roots	Crimson Roots	Crimson Roots	review needed
minecraft.packet.block.minecraft.crimson_sign	Crimson Sign	Crimson Sign	review needed
minecraft.packet.block.minecraft.crimson_slab	Crimson Slab	Crimson Slab	review needed
minecraft.packet.block.minecraft.crimson_stairs	Crimson Stairs	Crimson Stairs	review needed
minecraft.packet.block.minecraft.crimson_stem	Crimson Stem	Crimson Stem	review needed
minecraft.packet.block.minecraft.crimson_trapdoor	Crimson Trapdoor	Crimson Trapdoor	review needed
minecraft.packet.block.minecraft.crimson_wall_hanging_sign	Crimson Wall Hanging Sign	Crimson Wall Hanging Sign	review needed
minecraft.packet.block.minecraft.crimson_wall_sign	Crimson Wall Sign	Crimson Wall Sign	review needed
minecraft.packet.block.minecraft.crying_obsidian	Crying Obsidian	Crying Obsidian	review needed
minecraft.packet.block.minecraft.cut_copper	Cut Copper	Cut Copper	review needed
minecraft.packet.block.minecraft.cut_copper_slab	Cut Copper Slab	Cut Copper Slab	review needed
minecraft.packet.block.minecraft.cut_copper_stairs	Cut Copper Stairs	Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.cut_red_sandstone	Cut Red Sandstone	Cut Red Sandstone	review needed
minecraft.packet.block.minecraft.cut_red_sandstone_slab	Cut Red Sandstone Slab	Cut Red Sandstone Slab	review needed
minecraft.packet.block.minecraft.cut_sandstone	Cut Sandstone	Cut Sandstone	review needed
minecraft.packet.block.minecraft.cut_sandstone_slab	Cut Sandstone Slab	Cut Sandstone Slab	review needed
minecraft.packet.block.minecraft.cyan_banner	Cyan Banner	Cyan Banner	review needed
minecraft.packet.block.minecraft.cyan_bed	Cyan Bed	Cyan Bed	review needed
minecraft.packet.block.minecraft.cyan_candle	Cyan Candle	Cyan Candle	review needed
minecraft.packet.block.minecraft.cyan_candle_cake	Cake with Cyan Candle	Cake with Cyan Candle	review needed
minecraft.packet.block.minecraft.cyan_carpet	Cyan Carpet	Cyan Carpet	review needed
minecraft.packet.block.minecraft.cyan_concrete	Cyan Concrete	Cyan Concrete	review needed
minecraft.packet.block.minecraft.cyan_concrete_powder	Cyan Concrete Powder	Cyan Concrete Powder	review needed
minecraft.packet.block.minecraft.cyan_glazed_terracotta	Cyan Glazed Terracotta	Cyan Glazed Terracotta	review needed
minecraft.packet.block.minecraft.cyan_shulker_box	Cyan Shulker Box	Cyan Shulker Box	review needed
minecraft.packet.block.minecraft.cyan_stained_glass	Cyan Stained Glass	Cyan Stained Glass	review needed
minecraft.packet.block.minecraft.cyan_stained_glass_pane	Cyan Stained Glass Pane	Cyan Stained Glass Pane	review needed
minecraft.packet.block.minecraft.cyan_terracotta	Cyan Terracotta	Cyan Terracotta	review needed
minecraft.packet.block.minecraft.cyan_wool	Cyan Wool	Cyan Wool	review needed
minecraft.packet.block.minecraft.damaged_anvil	Damaged Anvil	Damaged Anvil	review needed
minecraft.packet.block.minecraft.dandelion	Dandelion	Dandelion	review needed
minecraft.packet.block.minecraft.dark_oak_button	Dark Oak Button	Dark Oak Button	review needed
minecraft.packet.block.minecraft.dark_oak_door	Dark Oak Door	Dark Oak Door	review needed
minecraft.packet.block.minecraft.dark_oak_fence	Dark Oak Fence	Dark Oak Fence	review needed
minecraft.packet.block.minecraft.dark_oak_fence_gate	Dark Oak Fence Gate	Dark Oak Fence Gate	review needed
minecraft.packet.block.minecraft.dark_oak_hanging_sign	Dark Oak Hanging Sign	Dark Oak Hanging Sign	review needed
minecraft.packet.block.minecraft.dark_oak_leaves	Dark Oak Leaves	Dark Oak Leaves	review needed
minecraft.packet.block.minecraft.dark_oak_log	Dark Oak Log	Dark Oak Log	review needed
minecraft.packet.block.minecraft.dark_oak_planks	Dark Oak Planks	Dark Oak Planks	review needed
minecraft.packet.block.minecraft.dark_oak_pressure_plate	Dark Oak Pressure Plate	Dark Oak Pressure Plate	review needed
minecraft.packet.block.minecraft.dark_oak_sapling	Dark Oak Sapling	Dark Oak Sapling	review needed
minecraft.packet.block.minecraft.dark_oak_sign	Dark Oak Sign	Dark Oak Sign	review needed
minecraft.packet.block.minecraft.dark_oak_slab	Dark Oak Slab	Dark Oak Slab	review needed
minecraft.packet.block.minecraft.dark_oak_stairs	Dark Oak Stairs	Dark Oak Stairs	review needed
minecraft.packet.block.minecraft.dark_oak_trapdoor	Dark Oak Trapdoor	Dark Oak Trapdoor	review needed
minecraft.packet.block.minecraft.dark_oak_wall_hanging_sign	Dark Oak Wall Hanging Sign	Dark Oak Wall Hanging Sign	review needed
minecraft.packet.block.minecraft.dark_oak_wall_sign	Dark Oak Wall Sign	Dark Oak Wall Sign	review needed
minecraft.packet.block.minecraft.dark_oak_wood	Dark Oak Wood	Dark Oak Wood	review needed
minecraft.packet.block.minecraft.dark_prismarine	Dark Prismarine	Dark Prismarine	review needed
minecraft.packet.block.minecraft.dark_prismarine_slab	Dark Prismarine Slab	Dark Prismarine Slab	review needed
minecraft.packet.block.minecraft.dark_prismarine_stairs	Dark Prismarine Stairs	Dark Prismarine Stairs	review needed
minecraft.packet.block.minecraft.daylight_detector	Daylight Detector	Daylight Detector	review needed
minecraft.packet.block.minecraft.dead_brain_coral	Dead Brain Coral	Dead Brain Coral	review needed
minecraft.packet.block.minecraft.dead_brain_coral_block	Dead Brain Coral Block	Dead Brain Coral Block	review needed
minecraft.packet.block.minecraft.dead_brain_coral_fan	Dead Brain Coral Fan	Dead Brain Coral Fan	review needed
minecraft.packet.block.minecraft.dead_brain_coral_wall_fan	Dead Brain Coral Wall Fan	Dead Brain Coral Wall Fan	review needed
minecraft.packet.block.minecraft.dead_bubble_coral	Dead Bubble Coral	Dead Bubble Coral	review needed
minecraft.packet.block.minecraft.dead_bubble_coral_block	Dead Bubble Coral Block	Dead Bubble Coral Block	review needed
minecraft.packet.block.minecraft.dead_bubble_coral_fan	Dead Bubble Coral Fan	Dead Bubble Coral Fan	review needed
minecraft.packet.block.minecraft.dead_bubble_coral_wall_fan	Dead Bubble Coral Wall Fan	Dead Bubble Coral Wall Fan	review needed
minecraft.packet.block.minecraft.dead_bush	Dead Bush	Dead Bush	review needed
minecraft.packet.block.minecraft.dead_fire_coral	Dead Fire Coral	Dead Fire Coral	review needed
minecraft.packet.block.minecraft.dead_fire_coral_block	Dead Fire Coral Block	Dead Fire Coral Block	review needed
minecraft.packet.block.minecraft.dead_fire_coral_fan	Dead Fire Coral Fan	Dead Fire Coral Fan	review needed
minecraft.packet.block.minecraft.dead_fire_coral_wall_fan	Dead Fire Coral Wall Fan	Dead Fire Coral Wall Fan	review needed
minecraft.packet.block.minecraft.dead_horn_coral	Dead Horn Coral	Dead Horn Coral	review needed
minecraft.packet.block.minecraft.dead_horn_coral_block	Dead Horn Coral Block	Dead Horn Coral Block	review needed
minecraft.packet.block.minecraft.dead_horn_coral_fan	Dead Horn Coral Fan	Dead Horn Coral Fan	review needed
minecraft.packet.block.minecraft.dead_horn_coral_wall_fan	Dead Horn Coral Wall Fan	Dead Horn Coral Wall Fan	review needed
minecraft.packet.block.minecraft.dead_tube_coral	Dead Tube Coral	Dead Tube Coral	review needed
minecraft.packet.block.minecraft.dead_tube_coral_block	Dead Tube Coral Block	Dead Tube Coral Block	review needed
minecraft.packet.block.minecraft.dead_tube_coral_fan	Dead Tube Coral Fan	Dead Tube Coral Fan	review needed
minecraft.packet.block.minecraft.dead_tube_coral_wall_fan	Dead Tube Coral Wall Fan	Dead Tube Coral Wall Fan	review needed
minecraft.packet.block.minecraft.decorated_pot	Decorated Pot	Decorated Pot	review needed
minecraft.packet.block.minecraft.deepslate	Deepslate	Deepslate	review needed
minecraft.packet.block.minecraft.deepslate_brick_slab	Deepslate Brick Slab	Deepslate Brick Slab	review needed
minecraft.packet.block.minecraft.deepslate_brick_stairs	Deepslate Brick Stairs	Deepslate Brick Stairs	review needed
minecraft.packet.block.minecraft.deepslate_brick_wall	Deepslate Brick Wall	Deepslate Brick Wall	review needed
minecraft.packet.block.minecraft.deepslate_bricks	Deepslate Bricks	Deepslate Bricks	review needed
minecraft.packet.block.minecraft.deepslate_coal_ore	Deepslate Coal Ore	Deepslate Coal Ore	review needed
minecraft.packet.block.minecraft.deepslate_copper_ore	Deepslate Copper Ore	Deepslate Copper Ore	review needed
minecraft.packet.block.minecraft.deepslate_diamond_ore	Deepslate Diamond Ore	Deepslate Diamond Ore	review needed
minecraft.packet.block.minecraft.deepslate_emerald_ore	Deepslate Emerald Ore	Deepslate Emerald Ore	review needed
minecraft.packet.block.minecraft.deepslate_gold_ore	Deepslate Gold Ore	Deepslate Gold Ore	review needed
minecraft.packet.block.minecraft.deepslate_iron_ore	Deepslate Iron Ore	Deepslate Iron Ore	review needed
minecraft.packet.block.minecraft.deepslate_lapis_ore	Deepslate Lapis Lazuli Ore	Deepslate Lapis Lazuli Ore	review needed
minecraft.packet.block.minecraft.deepslate_redstone_ore	Deepslate Redstone Ore	Deepslate Redstone Ore	review needed
minecraft.packet.block.minecraft.deepslate_tile_slab	Deepslate Tile Slab	Deepslate Tile Slab	review needed
minecraft.packet.block.minecraft.deepslate_tile_stairs	Deepslate Tile Stairs	Deepslate Tile Stairs	review needed
minecraft.packet.block.minecraft.deepslate_tile_wall	Deepslate Tile Wall	Deepslate Tile Wall	review needed
minecraft.packet.block.minecraft.deepslate_tiles	Deepslate Tiles	Deepslate Tiles	review needed
minecraft.packet.block.minecraft.detector_rail	Detector Rail	Detector Rail	review needed
minecraft.packet.block.minecraft.diamond_block	Block of Diamond	Block of Diamond	review needed
minecraft.packet.block.minecraft.diamond_ore	Diamond Ore	Diamond Ore	review needed
minecraft.packet.block.minecraft.diorite	Diorite	Diorite	review needed
minecraft.packet.block.minecraft.diorite_slab	Diorite Slab	Diorite Slab	review needed
minecraft.packet.block.minecraft.diorite_stairs	Diorite Stairs	Diorite Stairs	review needed
minecraft.packet.block.minecraft.diorite_wall	Diorite Wall	Diorite Wall	review needed
minecraft.packet.block.minecraft.dirt	Dirt	Dirt	review needed
minecraft.packet.block.minecraft.dirt_path	Dirt Path	Dirt Path	review needed
minecraft.packet.block.minecraft.dispenser	Dispenser	Dispenser	review needed
minecraft.packet.block.minecraft.dragon_egg	Dragon Egg	Dragon Egg	review needed
minecraft.packet.block.minecraft.dragon_head	Dragon Head	Dragon Head	review needed
minecraft.packet.block.minecraft.dragon_wall_head	Dragon Wall Head	Dragon Wall Head	review needed
minecraft.packet.block.minecraft.dried_kelp_block	Dried Kelp Block	Dried Kelp Block	review needed
minecraft.packet.block.minecraft.dripstone_block	Dripstone Block	Dripstone Block	review needed
minecraft.packet.block.minecraft.dropper	Dropper	Dropper	review needed
minecraft.packet.block.minecraft.emerald_block	Block of Emerald	Block of Emerald	review needed
minecraft.packet.block.minecraft.emerald_ore	Emerald Ore	Emerald Ore	review needed
minecraft.packet.block.minecraft.enchanting_table	Enchanting Table	Enchanting Table	review needed
minecraft.packet.block.minecraft.end_gateway	End Gateway	End Gateway	review needed
minecraft.packet.block.minecraft.end_portal	End Portal	End Portal	review needed
minecraft.packet.block.minecraft.end_portal_frame	End Portal Frame	End Portal Frame	review needed
minecraft.packet.block.minecraft.end_rod	End Rod	End Rod	review needed
minecraft.packet.block.minecraft.end_stone	End Stone	End Stone	review needed
minecraft.packet.block.minecraft.end_stone_brick_slab	End Stone Brick Slab	End Stone Brick Slab	review needed
minecraft.packet.block.minecraft.end_stone_brick_stairs	End Stone Brick Stairs	End Stone Brick Stairs	review needed
minecraft.packet.block.minecraft.end_stone_brick_wall	End Stone Brick Wall	End Stone Brick Wall	review needed
minecraft.packet.block.minecraft.end_stone_bricks	End Stone Bricks	End Stone Bricks	review needed
minecraft.packet.block.minecraft.ender_chest	Ender Chest	Ender Chest	review needed
minecraft.packet.block.minecraft.exposed_copper	Exposed Copper	Exposed Copper	review needed
minecraft.packet.block.minecraft.exposed_cut_copper	Exposed Cut Copper	Exposed Cut Copper	review needed
minecraft.packet.block.minecraft.exposed_cut_copper_slab	Exposed Cut Copper Slab	Exposed Cut Copper Slab	review needed
minecraft.packet.block.minecraft.exposed_cut_copper_stairs	Exposed Cut Copper Stairs	Exposed Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.farmland	Farmland	Farmland	review needed
minecraft.packet.block.minecraft.fern	Fern	Fern	review needed
minecraft.packet.block.minecraft.fire	Fire	Fire	review needed
minecraft.packet.block.minecraft.fire_coral	Fire Coral	Fire Coral	review needed
minecraft.packet.block.minecraft.fire_coral_block	Fire Coral Block	Fire Coral Block	review needed
minecraft.packet.block.minecraft.fire_coral_fan	Fire Coral Fan	Fire Coral Fan	review needed
minecraft.packet.block.minecraft.fire_coral_wall_fan	Fire Coral Wall Fan	Fire Coral Wall Fan	review needed
minecraft.packet.block.minecraft.fletching_table	Fletching Table	Fletching Table	review needed
minecraft.packet.block.minecraft.flower_pot	Flower Pot	Flower Pot	review needed
minecraft.packet.block.minecraft.flowering_azalea	Flowering Azalea	Flowering Azalea	review needed
minecraft.packet.block.minecraft.flowering_azalea_leaves	Flowering Azalea Leaves	Flowering Azalea Leaves	review needed
minecraft.packet.block.minecraft.frogspawn	Frogspawn	Frogspawn	review needed
minecraft.packet.block.minecraft.frosted_ice	Frosted Ice	Frosted Ice	review needed
minecraft.packet.block.minecraft.furnace	Furnace	Furnace	review needed
minecraft.packet.block.minecraft.gilded_blackstone	Gilded Blackstone	Gilded Blackstone	review needed
minecraft.packet.block.minecraft.glass	Glass	Glass	review needed
minecraft.packet.block.minecraft.glass_pane	Glass Pane	Glass Pane	review needed
